B/S,SYMBOL,QTY,PRICE,PRINCIPAL
Sell,ASML,2,1406.61,2813.22
Sell,CL,33,96.67,3190.11
Sell,CSCO,32,76.85,2459.2
Sell,GD,4,347.64,1390.56
Sell,JNJ,18,243.45,4382.1
Sell,MA,2,518.36,1036.72
Sell,META,1,639.77,639.77
Sell,MRK,28,121.41,3399.48
Sell,NEM,40,125.8,5032.0
Sell,NVDA,5,182.78,913.9
Sell,PEP,7,165.94,1161.58
Sell,PFE,76,27.58,2096.08
Sell,T,8,28.69,229.52
Sell,V,6,314.08,1884.48
Sell,VZ,25,49.01,1225.25
Buy,AAPL,2,255.78,511.56
Buy,AMAT,8,354.91,2839.28
Buy,AMGN,7,369.19,2584.33
Buy,GOOGL,9,305.72,2751.48
Buy,HD,3,391.05,1173.15
Buy,KLAC,3,1464.13,4392.39
Buy,KO,12,78.68,944.16
Buy,MCD,9,327.58,2948.22
Buy,MSFT,2,401.32,802.64
Buy,NEE,11,93.8,1031.8
Buy,NFLX,13,76.87,999.31
Buy,PG,16,160.07,2561.12
Buy,REGN,1,803.17,803.17
Buy,VRTX,8,491.47,3931.76
